video_id,start_time,end_time,embedding,labels
p09LWqgAlVI,110.0,120.0,[],[327]
7ahr0ay310U,40.0,50.0,[],"[72, 82]"
0xX5k9enX1M,50.0,60.0,[],[7]
ov0Fe829K7s,200.0,210.0,[],"[72, 77, 510, 520]"
jLJzRd2yEAQ,30.0,40.0,[],"[0, 72, 82]"
5HYe8BFKQr4,20.0,30.0,[],[7]
AywQ34L_nYg,50.0,60.0,[],[7]
HWmb1XGLlGw,20.0,30.0,[],"[72, 73, 82]"
1_K3G1EcYLw,80.0,90.0,[],[327]
qOvIESa32JA,0.0,10.0,[],[7]
INgI5U_AOak,0.0,10.0,[],[7]
a4Ay4RfMm1U,180.0,190.0,[],[7]
B0OKth2k2-w,30.0,40.0,[],[82]
aK_uHc3SjHY,30.0,40.0,[],"[327, 368]"
E6oI_O8l35I,26.0,36.0,[],[327]
qu1Oz1kBoRA,180.0,190.0,[],"[0, 82]"
9fKEQbSN_vg,30.0,40.0,[],[82]
QsqGT5c30-Y,30.0,40.0,[],[82]
yhPFubhO0qA,30.0,40.0,[],"[307, 327]"
8-Qtd6RhfVA,60.0,70.0,[],[7]
7pzUYFtzVjs,30.0,40.0,[],[7]
ZxJmzftSRQw,15.0,25.0,[],[82]
TWcbU5_9jao,300.0,310.0,[],"[73, 82]"
24O7Q2AI6vw,10.0,20.0,[],"[72, 77, 506]"
