YTID,start_seconds,end_seconds,positive_labels,bark_labels
0xX5k9enX1M, 50.000, 60.000,/m/0brhx,/m/0brhx
1_K3G1EcYLw, 80.000, 90.000,/m/0btp2,/m/0btp2
24O7Q2AI6vw, 10.000, 20.000,/m/07qf0zm,/m/07qf0zm
2IWV8hlUydk, 20.000, 30.000,/m/02yds9,/m/02yds9
2P7aahQlG48, 20.000, 30.000,/m/0brhx,/m/0brhx
4JdwGxURJxs, 0.000, 10.000,/m/02yds9,/m/02yds9
5HYe8BFKQr4, 20.000, 30.000,/m/0brhx,/m/0brhx
5QBloWQvWgo, 280.000, 290.000,/m/07qf0zm,/m/07qf0zm
6Wamq3ehaAU, 30.000, 40.000,/m/02yds9,/m/02yds9
6nrVqPkhJjU, 80.000, 90.000,/m/02yds9,/m/02yds9
7ahr0ay310U, 40.000, 50.000,/m/02yds9,/m/02yds9
7pzUYFtzVjs, 30.000, 40.000,/m/0brhx,/m/0brhx
8-Qtd6RhfVA, 60.000, 70.000,/m/0brhx,/m/0brhx
9fKEQbSN_vg, 30.000, 40.000,/m/02yds9,/m/02yds9
9tuceHq8HX4, 260.000, 270.000,/m/0brhx,/m/0brhx
AywQ34L_nYg, 50.000, 60.000,/m/0brhx,/m/0brhx
B0OKth2k2-w, 30.000, 40.000,/m/02yds9,/m/02yds9
CD7INyI79fM, 170.000, 180.000,/m/02yds9,/m/02yds9
CJ0kz4TA8eE, 30.000, 40.000,/m/02yds9,/m/02yds9
E6oI_O8l35I, 26.000, 36.000,/m/0btp2,/m/0btp2
EXutFmf_GNU, 40.000, 50.000,/m/0btp2,/m/0btp2
FeFw7_o7nL8, 130.000, 140.000,/m/0brhx,/m/0brhx
Fm_lRiHhgvo, 180.000, 190.000,/m/0btp2,/m/0btp2
HWmb1XGLlGw, 20.000, 30.000,/m/02yds9,/m/02yds9
Hf8mjMU5aJk, 340.000, 350.000,/m/02yds9,/m/02yds9
INgI5U_AOak, 0.000, 10.000,/m/0brhx,/m/0brhx
IwWuaRrllys, 10.000, 20.000,/m/0brhx,/m/0brhx
JK7e-Zxyk2A, 70.000, 80.000,/m/0btp2,/m/0btp2
JtPcsFkrbSU, 30.000, 40.000,/m/0brhx,/m/0brhx
LbgM76kurgo, 50.000, 60.000,/m/02yds9,/m/02yds9
Ln6VGCB8f_c, 180.000, 190.000,/m/0brhx,/m/0brhx
N00rJwI56_c, 190.000, 200.000,/m/02yds9,/m/02yds9
NDqeJvMzOeQ, 30.000, 40.000,/m/02yds9,/m/02yds9
P8tx5STCuws, 120.000, 130.000,/m/02yds9,/m/02yds9
PfjgmRCJm94, 0.000, 10.000,/m/02yds9,/m/02yds9
QivjsTY4lBM, 10.000, 20.000,/m/0brhx,/m/0brhx
QsqGT5c30-Y, 30.000, 40.000,/m/02yds9,/m/02yds9
SAgPeSGI6i4, 310.000, 320.000,/m/0btp2,/m/0btp2
SOINI7tfBIQ, 0.000, 10.000,/m/0brhx,/m/0brhx
TWcbU5_9jao, 300.000, 310.000,/m/02yds9,/m/02yds9
